Country,Country Code,2022 [YR2022],Classification
Paraguay,PRY,30.1886787414551,Lower Income
Peru,PER,32.5471687316895,Lower Income
Philippines,PHL,33.4905662536621,Lower Income
Poland,POL,64.1509399414063,Upper Income
Portugal,PRT,83.9622650146484,Upper Income
Qatar,QAT,79.2452850341797,Upper Income
Romania,ROU,62.2641525268555,Upper Income
Russia,RUS,12.2641506195068,Upper Income
Rwanda,RWA,56.1320762634277,Lower Income
Samoa,WSM,80.6603775024414,Lower Income
San Marino,SMR,97.1698150634766,Upper Income
Sao Tome and Principe,STP,27.8301887512207,Lower Income
Saudi Arabia,SAU,58.0188674926758,Upper Income
Senegal,SEN,42.9245300292969,Lower Income
Serbia,SRB,49.0566024780273,Lower Income
Seychelles,SYC,65.5660400390625,Lower Income
Sierra Leone,SLE,23.1132068634033,Lower Income
Singapore,SGP,99.0566024780273,Upper Income
Slovakia,SVK,70.2830200195313,Upper Income
Slovenia,SVN,82.5471725463867,Upper Income
Solomon Islands,SLB,43.8679237365723,Lower Income
Somalia,SOM,0.0,Lower Income
South Africa,ZAF,54.2452812194824,Lower Income
South Sudan,SSD,1.41509437561035,Lower Income
Spain,ESP,77.3584899902344,Upper Income
Sri Lanka,LKA,52.3584899902344,Lower Income
Saint Kitts and Nevis,KNA,66.9811325073242,Upper Income
Saint Lucia,LCA,71.2264175415039,Lower Income
Saint Vincent and the Grenadines,VCT,70.7547149658203,Lower Income
Sudan,SDN,10.3773584365845,Lower Income
Suriname,SUR,48.113208770752,Lower Income
Sweden,SWE,93.8679275512695,Upper Income
Switzerland,CHE,97.6415100097656,Upper Income
Syria,SYR,0.943396210670471,Lower Income
Taiwan,TWN,86.7924499511719,Lower Income
Tajikistan,TJK,10.8490562438965,Lower Income
Tanzania,TZA,38.2075462341309,Lower Income
Thailand,THA,54.7169799804688,Lower Income
Timor-Leste,TLS,20.2830181121826,Lower Income
Togo,TGO,30.6603775024414,Lower Income
Tonga,TON,69.3396224975586,Lower Income
Trinidad and Tobago,TTO,46.698112487793,Upper Income
Tunisia,TUN,50.9433975219727,Lower Income
Turkey,TUR,36.7924537658691,Lower Income
Turkmenistan,TKM,6.13207530975342,Lower Income
Tuvalu,TUV,78.301887512207,Lower Income
Uganda,UGA,39.1509437561035,Lower Income
Ukraine,UKR,18.8679237365723,Lower Income
United Arab Emirates,ARE,78.7735824584961,Upper Income
United Kingdom,GBR,89.1509399414063,Upper Income
United States,USA,88.6792449951172,Upper Income
Uruguay,URY,75.9433975219727,Upper Income
Uzbekistan,UZB,21.698112487793,Lower Income
Vanuatu,VUT,58.9622650146484,Lower Income
Venezuela,VEN,0.471698105335236,Upper Income
Vietnam,VNM,47.6415100097656,Lower Income
Yemen,YEM,1.88679242134094,Lower Income
Zambia,ZMB,33.0188674926758,Lower Income
Zimbabwe,ZWE,11.3207550048828,Lower Income
