Country,Country Code,2022 [YR2022],Classification
Paraguay,PRY,45.2830200195313,Lower Income
Peru,PER,59.9056587219238,Lower Income
Philippines,PHL,53.7735862731934,Lower Income
Poland,POL,74.5283050537109,Upper Income
Portugal,PRT,75.0,Upper Income
Qatar,QAT,77.3584899902344,Upper Income
Romania,ROU,63.6792449951172,Upper Income
Russia,RUS,13.2075471878052,Upper Income
Rwanda,RWA,58.0188674926758,Lower Income
Samoa,WSM,41.9811325073242,Lower Income
San Marino,SMR,70.7547149658203,Upper Income
Sao Tome and Principe,STP,19.8113212585449,Lower Income
Saudi Arabia,SAU,65.0943374633789,Upper Income
Senegal,SEN,41.0377349853516,Lower Income
Serbia,SRB,56.1320762634277,Lower Income
Seychelles,SYC,62.2641525268555,Lower Income
Sierra Leone,SLE,15.0943393707275,Lower Income
Singapore,SGP,100.0,Upper Income
Slovakia,SVK,76.8867950439453,Upper Income
Slovenia,SVN,73.5849075317383,Upper Income
Solomon Islands,SLB,21.698112487793,Lower Income
Somalia,SOM,3.30188679695129,Lower Income
South Africa,ZAF,44.3396224975586,Lower Income
South Sudan,SSD,0.943396210670471,Lower Income
Spain,ESP,75.9433975219727,Upper Income
Sri Lanka,LKA,27.3584899902344,Lower Income
Saint Kitts and Nevis,KNA,71.698112487793,Upper Income
Saint Lucia,LCA,66.0377349853516,Lower Income
Saint Vincent and the Grenadines,VCT,63.2075462341309,Lower Income
Sudan,SDN,4.71698093414307,Lower Income
Suriname,SUR,21.2264156341553,Lower Income
Sweden,SWE,96.2264175415039,Upper Income
Switzerland,CHE,94.3396224975586,Upper Income
Syria,SYR,3.77358484268188,Lower Income
Taiwan,TWN,90.5660400390625,Lower Income
Tajikistan,TJK,11.3207550048828,Lower Income
Tanzania,TZA,30.1886787414551,Lower Income
Thailand,THA,58.4905662536621,Lower Income
Timor-Leste,TLS,33.9622650146484,Lower Income
Togo,TGO,30.6603775024414,Lower Income
Tonga,TON,40.0943412780762,Lower Income
Trinidad and Tobago,TTO,50.0,Upper Income
Tunisia,TUN,37.2641525268555,Lower Income
Turkey,TUR,43.3962249755859,Lower Income
Turkmenistan,TKM,1.88679242134094,Lower Income
Tuvalu,TUV,47.6415100097656,Lower Income
Uganda,UGA,33.0188674926758,Lower Income
Ukraine,UKR,40.5660362243652,Lower Income
United Arab Emirates,ARE,82.0754699707031,Upper Income
United Kingdom,GBR,93.3962249755859,Upper Income
United States,USA,91.0377349853516,Upper Income
Uruguay,URY,74.0566024780273,Upper Income
Uzbekistan,UZB,31.6037731170654,Lower Income
Vanuatu,VUT,48.5849075317383,Lower Income
Venezuela,VEN,2.35849046707153,Upper Income
Vietnam,VNM,36.3207550048828,Lower Income
Yemen,YEM,2.8301887512207,Lower Income
Zambia,ZMB,32.0754699707031,Lower Income
Zimbabwe,ZWE,6.60377359390259,Lower Income
