Country,Country Code,2022 [YR2022],Classification
Paraguay,PRY,29.7169818878174,Lower Income
Peru,PER,35.3773574829102,Lower Income
Philippines,PHL,56.1320762634277,Lower Income
Poland,POL,61.7924537658691,Upper Income
Portugal,PRT,80.1886825561523,Upper Income
Qatar,QAT,82.5471725463867,Upper Income
Romania,ROU,53.301887512207,Upper Income
Russia,RUS,25.943395614624,Upper Income
Rwanda,RWA,61.3207550048828,Lower Income
Samoa,WSM,62.2641525268555,Lower Income
San Marino,SMR,97.1698150634766,Upper Income
Sao Tome and Principe,STP,20.2830181121826,Lower Income
Saudi Arabia,SAU,70.7547149658203,Upper Income
Senegal,SEN,52.8301887512207,Lower Income
Serbia,SRB,57.0754699707031,Lower Income
Seychelles,SYC,73.1132049560547,Lower Income
Sierra Leone,SLE,11.7924528121948,Lower Income
Singapore,SGP,100.0,Upper Income
Slovakia,SVK,63.6792449951172,Upper Income
Slovenia,SVN,80.6603775024414,Upper Income
Solomon Islands,SLB,26.8867931365967,Lower Income
Somalia,SOM,1.41509437561035,Lower Income
South Africa,ZAF,48.113208770752,Lower Income
South Sudan,SSD,0.0,Lower Income
Spain,ESP,77.8301849365234,Upper Income
Sri Lanka,LKA,35.8490562438965,Lower Income
Saint Kitts and Nevis,KNA,64.6226425170898,Upper Income
Saint Lucia,LCA,49.0566024780273,Lower Income
Saint Vincent and the Grenadines,VCT,62.7358474731445,Lower Income
Sudan,SDN,4.71698093414307,Lower Income
Suriname,SUR,15.0943393707275,Lower Income
Sweden,SWE,94.8113174438477,Upper Income
Switzerland,CHE,99.5283050537109,Upper Income
Syria,SYR,2.8301887512207,Lower Income
Taiwan,TWN,90.5660400390625,Lower Income
Tajikistan,TJK,23.5849056243896,Lower Income
Tanzania,TZA,34.4339637756348,Lower Income
Thailand,THA,58.0188674926758,Lower Income
Timor-Leste,TLS,22.6415100097656,Lower Income
Togo,TGO,28.301887512207,Lower Income
Tonga,TON,45.2830200195313,Lower Income
Trinidad and Tobago,TTO,52.3584899902344,Upper Income
Tunisia,TUN,41.5094337463379,Lower Income
Turkey,TUR,43.8679237365723,Lower Income
Turkmenistan,TKM,12.2641506195068,Lower Income
Tuvalu,TUV,39.6226425170898,Lower Income
Uganda,UGA,31.1320762634277,Lower Income
Ukraine,UKR,33.0188674926758,Lower Income
United Arab Emirates,ARE,88.6792449951172,Upper Income
United Kingdom,GBR,85.8490600585938,Upper Income
United States,USA,86.7924499511719,Upper Income
Uruguay,URY,77.3584899902344,Upper Income
Uzbekistan,UZB,38.2075462341309,Lower Income
Vanuatu,VUT,32.0754699707031,Lower Income
Venezuela,VEN,5.18867921829224,Upper Income
Vietnam,VNM,59.4339637756348,Lower Income
Yemen,YEM,0.471698105335236,Lower Income
Zambia,ZMB,27.8301887512207,Lower Income
Zimbabwe,ZWE,10.8490562438965,Lower Income
